Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**06** ^Red^,**@MiniTigri** ^Andrés Felipe Lancheros Sánchez^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MiniTigri_06.jpg),[tweet](https://twitter.com/MiniTigri/status/1324931853883756545) ,Colombia,Bogotá,infrastructure,animation,QGIS
**06** ^Red^,**@mr_ericgoodwin** ^Eric Goodwin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/mr_ericgoodwin_06.png),[tweet](https://twitter.com/mr_ericgoodwin/status/1325948871999107072) ,USA,Cincinnati,,,
**24** ^Elevation^,**@geologyjesse** ^Jesse Pisel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geologyjesse_24.jpg),[tweet](https://twitter.com/geologyjesse/status/1331299709529567241) ,,,,,
**16** ^Islands^,**@cedricr** ^Cedric Rossi^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/cedricr_16.jpg),[tweet](https://twitter.com/cedricr/status/1328355743599353856) ,,,,,
**23** ^Boundaries^,**@monabartling** ^Mona Bartling^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/monabartling_23.jpg),[tweet](https://twitter.com/monabartling/status/1330875788137271300) ,South America,,,,
**20** ^Population^,**@stevefaeembra** ^Steven Kay^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/stevefaeembra_20.jpg),[tweet](https://twitter.com/stevefaeembra/status/1329721092236251137) ,,,,,Python
**09** ^Monochrome^,**@seateazen** ^Francis Gasgonia^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/seateazen_09.jpg),[tweet](https://twitter.com/seateazen/status/1325653591223267328) ,,,,,
**24** ^Elevation^,**@neocartocnrs** ^neocarto^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/neocartocnrs_24.jpg),[tweet](https://twitter.com/neocartocnrs/status/1331146558998523906) ,,,,,
**20** ^Population^,**@Iawmatthew** ^Matthew Law^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Iawmatthew_20.jpg),[tweet](https://twitter.com/Iawmatthew/status/1329877061054369794) ,UK,,population,,QGIS
**02** ^Lines^,**@TeemuSaloriutta** ^Teemu Saloriutta^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/TeemuSaloriutta_02.jpg),[tweet](https://twitter.com/TeemuSaloriutta/status/1323279695421546502) ,,,,,QGIS
**27** ^Big/small data^,**@minus34** ^Hugh Saalmans^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/minus34_27.jpg),[tweet](https://twitter.com/minus34/status/1332554308835950593) ,,,,,
**19** ^NULL^,**@jrombf** ^Jrombf^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jrombf_19.png),[tweet](https://twitter.com/jrombf/status/1329497157678882817) ,,,,,
**12** ^Non-GIS^,**@azzadv** ^Azzadv Sawungrana^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/azzadv_12.jpg),[tweet](https://twitter.com/azzadv/status/1328579206956130310) ,,,,,
**11** ^3D^,**@mapsimise** ^Mapsimise^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/mapsimise_11.png),[tweet](https://twitter.com/mapsimise/status/1333404664910520323) ,,,,,
**10** ^Grid^,**@FrancescaPontin** ^Francesca Pontin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/FrancescaPontin_10.jpg),[tweet](https://twitter.com/FrancescaPontin/status/1326077255471206404) ,,,,,
**03** ^Polygons^,**@rsfrankl** ^Rachel Franklin🦚^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/rsfrankl_03.jpg),[tweet](https://twitter.com/rsfrankl/status/1323651819101392896) ,,,,,
**15** ^Connections^,**@darenw** ^Daren Willman^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darenw_15.jpg),[tweet](https://twitter.com/darenw/status/1328204321159340039) ,,,,,
**02** ^Lines^,**@canonicalizedco** ^Dorian Banutoiu^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/canonicalizedco_02.jpg),[tweet](https://twitter.com/canonicalizedco/status/1323276971250515969) ,,,,,
**19** ^NULL^,**@_anirudhgovind** ^Anirudh^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_anirudhgovind_19.png),[tweet](https://twitter.com/_anirudhgovind/status/1329469458654478336) ,India,Bangalore,,,R
**14** ^Climate change^,**@keirtography** ^keirtography^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/keirtography_14.jpg),[tweet](https://twitter.com/keirtography/status/1327745113058013184) ,USA,,,,
**12** ^Non-GIS^,**@samwise_v** ^Sam J^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/samwise_v_12.png),[tweet](https://twitter.com/samwise_v/status/1326886139937042432) ,UK,,,,
**10** ^Grid^,**@richard_vogg** ^Richard Vogg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/richard_vogg_10.png),[tweet](https://twitter.com/richard_vogg/status/1326108519624552448) ,Germany,,,,R
**26** ^New tool^,**@kriksine** ^Kristīne^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kriksine_26.jpg),[tweet](https://twitter.com/kriksine/status/1332060983876071425) ,,,,,
**04** ^Hexagons^,**@meandmaps** ^me & maps^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/meandmaps_04.jpg),[tweet](https://twitter.com/meandmaps/status/1323892729886158851) ,,,,,
**16** ^Islands^,**@napo** ^Maurizio Napolitano^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/napo_16.png),[tweet](https://twitter.com/napo/status/1328659825899794435) ,,,,,
**09** ^Monochrome^,**@RichardZimerman** ^Richard Zimerman^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/RichardZimerman_09.jpg),[tweet](https://twitter.com/RichardZimerman/status/1325855939719802881) ,,,,,
**03** ^Polygons^,**@aina_don** ^Aina Le Don^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/aina_don_03.jpg),[tweet](https://twitter.com/aina_don/status/1323490086483156994) ,,,,,
**01** ^Points^,**@neilcharles_uk** ^Neil Charles^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/neilcharles_uk_01.jpg),[tweet](https://twitter.com/neilcharles_uk/status/1322943603057057793) ,UK,,,,
**28** ^Non-geographic^,**@basemap** ^Basemap^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/basemap_28.jpg),[tweet](https://twitter.com/basemap/status/1332640614194745344) ,,,,,
**20** ^Population^,**@iwengraf** ^Ivo Wengraf^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/iwengraf_20.jpg),[tweet](https://twitter.com/iwengraf/status/1329836672968699904) ,,,,,R
**07** ^Green^,**@jmatics** ^Jmatics^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jmatics_07.jpg),[tweet](https://twitter.com/jmatics/status/1325141688252133380) ,,,,,R
**10** ^Grid^,**@cstats1** ^newishtodc^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/cstats1_10.jpg),[tweet](https://twitter.com/cstats1/status/1326380468850335744) ,,,,,R
**03** ^Polygons^,**@PhilPierdo** ^Philip Pierdomenico^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/PhilPierdo_03.jpg),[tweet](https://twitter.com/PhilPierdo/status/1323610317612568581) ,,,,,
**11** ^3D^,**@1cartogRaph** ^Raphaël Bz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/1cartogRaph_11.jpg),[tweet](https://twitter.com/1cartogRaph/status/1326637322478219264) ,Switzerland,,,,R
**05** ^Blue^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_05.jpg),[tweet](https://twitter.com/vlckel/status/1324126890580418560) ,,,,,ArcGIS
**08** ^Yellow^,**@NguynQu59656951** ^Nguyễn Quang Huy^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/NguynQu59656951_08.jpg),[tweet](https://twitter.com/NguynQu59656951/status/1325429321821904897) ,World,,,,Python
**14** ^Climate change^,**@tonuoja** ^Tõnu Oja^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tonuoja_14.jpg),[tweet](https://twitter.com/tonuoja/status/1327728942745313281) ,,,,,
**11** ^3D^,**@inari_ta** ^Irene de la Torre^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/inari_ta_11.png),[tweet](https://twitter.com/inari_ta/status/1327015812557922309) ,Mars,,,,QGIS
**18** ^Land use^,**@hireuter** ^Hannes Reuter^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/hireuter_18.jpg),[tweet](https://twitter.com/hireuter/status/1329140305552171009) [web](https://ec.europa.eu/eurostat/cache/RCI/rcit/2020challenge18.html),Europe,,,,
**14** ^Climate change^,**@_penguin_runner** ^Kirsten Reilly^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_penguin_runner_14.jpg),[tweet](https://twitter.com/_penguin_runner/status/1327587595115704320) ,Antarctica,,,,QGIS
**10** ^Grid^,**@stevefaeembra** ^Steven Kay^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/stevefaeembra_10.jpg),[tweet](https://twitter.com/stevefaeembra/status/1326237051914694656) ,,,,,QGIS
**03** ^Polygons^,**@sporella** ^Steph Orellana Bello^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sporella_03.jpg),[tweet](https://twitter.com/sporella/status/1323734045688254470) ,,,,,R
**10** ^Grid^,**@atdodkonfektes** ^Zane^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/atdodkonfektes_10.jpg),[tweet](https://twitter.com/atdodkonfektes/status/1326082993493069825) ,Latvia,Rīga,,,
**27** ^Big/small data^,**@owenjpowell** ^Owen Powell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/owenjpowell_27.jpg),[tweet](https://twitter.com/owenjpowell/status/1332254965197369344) [web](https://owenpowell.wordpress.com/30-day-map-challenge-2020/),,,,,
**05** ^Blue^,**@MAHESHK92842090** ^MAHESH KUMAR^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MAHESHK92842090_05.jpg),[tweet](https://twitter.com/MAHESHK92842090/status/1324179496807751681) ,,,,,
**24** ^Elevation^,**@Nikolaj_gr** ^Nikolaj G^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Nikolaj_gr_24.jpg),[tweet](https://twitter.com/Nikolaj_gr/status/1331311440741937153) ,,,,,
**03** ^Polygons^,**@juanluistv_** ^Juan Luis Torres^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/juanluistv__03.jpg),[tweet](https://twitter.com/juanluistv_/status/1323669958073745413) ,,,,,QGIS
**19** ^NULL^,**@Nikolaj_gr** ^Nikolaj G^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Nikolaj_gr_19.jpg),[tweet](https://twitter.com/Nikolaj_gr/status/1329545001311891458) ,Denmark,,,,
**19** ^NULL^,**@Thoughtfulnz** ^David Hood^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Thoughtfulnz_19.png),[tweet](https://twitter.com/Thoughtfulnz/status/1329626314223939585) ,New Zealand,,elections,small multiples,
**04** ^Hexagons^,**@Remykiwi78** ^Rem^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Remykiwi78_04.jpg),[tweet](https://twitter.com/Remykiwi78/status/1324039468509253637) ,,,,,
**11** ^3D^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_11.jpg),[tweet](https://twitter.com/darwinanddavis/status/1326785178606374912) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-11-3d),Australia,Melbourne,trees,interactive,"R, Mapbox"
**02** ^Lines^,**@Kenneth_KHW** ^Kenneth Wong^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Kenneth_KHW_02.jpg),[tweet](https://twitter.com/Kenneth_KHW/status/1323289989782728705) ,,,,,
**02** ^Lines^,**@MarcoMinghini** ^Marco Minghini^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MarcoMinghini_02.jpg),[tweet](https://twitter.com/MarcoMinghini/status/1323231370731167745) ,,,,,QGIS
**03** ^Polygons^,**@northlandiguana** ^Carl Sack^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/northlandiguana_03.png),[tweet](https://twitter.com/northlandiguana/status/1324339195792556032) ,USA,"Duluth, Chicago",,,
**09** ^Monochrome^,**@mapperfr** ^Jérémy Garniaux^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/mapperfr_09.jpg),[tweet](https://twitter.com/mapperfr/status/1326207173479837698) ,,,,,Aerialod
**20** ^Population^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_20.jpg),[tweet](https://twitter.com/vlckel/status/1329704455563071495) ,Czech Republic,,population,joyplot,
**13** ^Raster^,**@asc_miriam** ^Miriam Asc^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/asc_miriam_13.jpg),[tweet](https://twitter.com/asc_miriam/status/1327500819315363842) ,,,,,
**07** ^Green^,**@LizbethBastid11** ^Lizbeth Bastida^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/LizbethBastid11_07.jpg),[tweet](https://twitter.com/LizbethBastid11/status/1325603007069782018) ,,,,,
**24** ^Elevation^,**@AurelienChaumet** ^Aurelien Chaumet^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/AurelienChaumet_24.jpg),[tweet](https://twitter.com/AurelienChaumet/status/1331262425363058690) ,,,,,
**28** ^Non-geographic^,**@BBMountClub** ^Phil Tarr (BBMC)^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BBMountClub_28.jpg),[tweet](https://twitter.com/BBMountClub/status/1332668493951545345) ,,,,,
**01** ^Points^,**@sid_bryper** ^Scott D.^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sid_bryper_01.jpg),[tweet](https://twitter.com/sid_bryper/status/1322969401092702208) ,,,,,
**27** ^Big/small data^,**@kjsime** ^Kerrin Sime^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kjsime_27.jpg),[tweet](https://twitter.com/kjsime/status/1332271652323745792) ,,,,,
**05** ^Blue^,**@AnatZohar4** ^Anat Zohar^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/AnatZohar4_05.jpg),[tweet](https://twitter.com/AnatZohar4/status/1324619251429249024) ,,,,,
**10** ^Grid^,**@LandEthics** ^Steve Carver^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/LandEthics_10.jpg),[tweet](https://twitter.com/LandEthics/status/1326244089013080066) ,,,,,
**25** ^COVID-19^,**@dickoah** ^Ahmadou Dicko^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/dickoah_25.png),[tweet](https://twitter.com/dickoah/status/1331739329044078593) ,,,,,
**01** ^Points^,**@varaktor** ^Kapazitätsdiode^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/varaktor_01.png),[tweet](https://twitter.com/varaktor/status/1323003338175205381) ,,,,,
**14** ^Climate change^,**@atdodkonfektes** ^Zane^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/atdodkonfektes_14.jpg),[tweet](https://twitter.com/atdodkonfektes/status/1328071112618545153) ,Latvia,,,,
**19** ^NULL^,**@assesslife** ^Jose Maria Echave Sanz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/assesslife_19.jpg),[tweet](https://twitter.com/assesslife/status/1329298342447296519) ,,,,,
**01** ^Points^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_01.jpg),[tweet](https://twitter.com/vlckel/status/1322846158876803072) ,World,,energy,,gvSIG
**16** ^Islands^,**@darenw** ^Daren Willman^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darenw_16.png),[tweet](https://twitter.com/darenw/status/1328536530755973121) ,,,,,
**02** ^Lines^,**@Carto_ALex** ^Alex Fries^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Carto_ALex_02.jpg),[tweet](https://twitter.com/Carto_ALex/status/1323301063349383168) ,,,,,
**30** ^A map^,**@tomasral** ^Tomasral^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tomasral_30.jpg),[tweet](https://twitter.com/tomasral/status/1333312809703235586) ,,,,,
**05** ^Blue^,**@ron_halliday** ^Ronald Halliday 🇨🇦 🇧🇷^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ron_halliday_05.png),[tweet](https://twitter.com/ron_halliday/status/1324371891440812038) ,,,,,
**11** ^3D^,**@kennethfield** ^Kenneth Field^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kennethfield_11.jpg),[tweet](https://twitter.com/kennethfield/status/1326434738521972736) ,,,,,
**15** ^Connections^,**@stevefaeembra** ^Steven Kay^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/stevefaeembra_15.jpg),[tweet](https://twitter.com/stevefaeembra/status/1327768889141436418) ,"USA, UK",,names,,"QGIS, Python"
**07** ^Green^,**@MiniMapMakers** ^Captain Alice^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MiniMapMakers_07.jpg),[tweet](https://twitter.com/MiniMapMakers/status/1327210552947593216) ,World,,,,
**03** ^Polygons^,**@tobi_aiyelokun** ^Oluwatobi^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tobi_aiyelokun_03.jpg),[tweet](https://twitter.com/tobi_aiyelokun/status/1323758728219381764) ,,,,,
**29** ^Globe^,**@assesslife** ^Jose Maria Echave Sanz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/assesslife_29.jpg),[tweet](https://twitter.com/assesslife/status/1332912893248073728) ,,,,,
**15** ^Connections^,**@WestcountryRT** ^Westcountry Rivers Trust^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/WestcountryRT_15.jpg),[tweet](https://twitter.com/WestcountryRT/status/1327961567355412480) ,,,,,
**23** ^Boundaries^,**@professorkao** ^Dennis Kao^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/professorkao_23.jpg),[tweet](https://twitter.com/professorkao/status/1331123570664235008) ,Canada,Ottawa,,,
**09** ^Monochrome^,**@MikeMahoney218** ^Mike Mahoney^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MikeMahoney218_09.jpg),[tweet](https://twitter.com/MikeMahoney218/status/1325814149083918336) ,USA,,elevation,3D,"R, Unity"
**11** ^3D^,**@stevefaeembra** ^Steven Kay^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/stevefaeembra_11.png),[tweet](https://twitter.com/stevefaeembra/status/1326489087562436608) ,,,,,QGIS
**22** ^Movement^,**@mildthing99** ^BC^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/mildthing99_22.jpg),[tweet](https://twitter.com/mildthing99/status/1330419002892578817) ,,,,,
**06** ^Red^,**@jmatics** ^Jmatics^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jmatics_06.jpg),[tweet](https://twitter.com/jmatics/status/1324813307853836289) ,,,,,R
**23** ^Boundaries^,**@KonturInc** ^Kontur^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/KonturInc_23.jpg),[tweet](https://twitter.com/KonturInc/status/1330971905520787457) ,World,,,,
**24** ^Elevation^,**@pivanputs** ^Paul I 🇺🇸🇩🇪^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pivanputs_24.png),[tweet](https://twitter.com/pivanputs/status/1331102753943396353) ,,,,,
**24** ^Elevation^,**@EljarmouniMed** ^EL JARMOUNI Mohamed^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/EljarmouniMed_24.png),[tweet](https://twitter.com/EljarmouniMed/status/1331594321540370435) ,Morocco,,,,
**08** ^Yellow^,**@JonasStillhard** ^Jonas Stillhard^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JonasStillhard_08.png),[tweet](https://twitter.com/JonasStillhard/status/1325813630479314944) ,,,,,R
**04** ^Hexagons^,**@ksituan** ^Alex McPhee^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ksituan_04.jpg),[tweet](https://twitter.com/ksituan/status/1324108435676258305) ,Canada,,population,,"QGIS, Inkscape"
**13** ^Raster^,**@emu_info** ^Emu Analytics^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/emu_info_13.jpg),[tweet](https://twitter.com/emu_info/status/1327289298396340226) ,UK,,,,
**29** ^Globe^,**@cas_maps** ^Cas^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/cas_maps_29.jpg),[tweet](https://twitter.com/cas_maps/status/1333127580619321347) ,,,,,
**13** ^Raster^,**@geojuffie** ^Mariëlle Geers-Plasmans^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geojuffie_13.jpg),[tweet](https://twitter.com/geojuffie/status/1327218715532865536) ,,,,,QGIS
**06** ^Red^,**@whiterabbit_sci** ^The White Rabbit Science^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/whiterabbit_sci_06.jpg),[tweet](https://twitter.com/whiterabbit_sci/status/1324755777224134656) ,,,,,
**19** ^NULL^,**@quorumetrix** ^Tyler Sloan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/quorumetrix_19.jpg),[tweet](https://twitter.com/quorumetrix/status/1329630513536004097) ,,,,,
**25** ^COVID-19^,**@odile_p** ^odile^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/odile_p_25.jpg),[tweet](https://twitter.com/odile_p/status/1331645726389055493) ,France,,COVID-19,,hand drawn
**01** ^Points^,**@tomodraco** ^Tomo 🐽^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tomodraco_01.jpg),[tweet](https://twitter.com/tomodraco/status/1322836572706918400) ,Europe,,sport,,"D3.js, Acorn"
**18** ^Land use^,**@kennethfield** ^Kenneth Field^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kennethfield_18.jpg),[tweet](https://twitter.com/kennethfield/status/1328971453535031296) ,,,,,
**01** ^Points^,**@ron_halliday** ^Ronald Halliday 🇨🇦 🇧🇷^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ron_halliday_01.jpg),[tweet](https://twitter.com/ron_halliday/status/1322952613487349761) ,Peru,Lima,,,
**05** ^Blue^,**@e2molin** ^Esteban Escolano Molin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/e2molin_05.jpg),[tweet](https://twitter.com/e2molin/status/1324282513125265408) ,,,,,
**19** ^NULL^,**@geodatascience** ^GeoDataScience^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geodatascience_19.jpg),[tweet](https://twitter.com/geodatascience/status/1329401222416248836) ,,,,,
**29** ^Globe^,**@balt_ti** ^Tatiana^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/balt_ti_29.jpg),[tweet](https://twitter.com/balt_ti/status/1333000268288577538) ,,,,,
**03** ^Polygons^,**@ReynardSubtil** ^David Fox^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ReynardSubtil_03.jpg),[tweet](https://twitter.com/ReynardSubtil/status/1323779050066857984) ,,,,,
**02** ^Lines^,**@erin_caughey** ^Erin Caughey^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/erin_caughey_02.jpg),[tweet](https://twitter.com/erin_caughey/status/1323472662543409152) ,,,,,Mapbox
**30** ^A map^,**@popelnuhh** ^Zlata Popelnuh^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/popelnuhh_30.png),[tweet](https://twitter.com/popelnuhh/status/1333485405677686786) ,Europe,,transport,,
**23** ^Boundaries^,**@JanPhilippKolb** ^Jan-Philipp Kolb^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JanPhilippKolb_23.png),[tweet](https://twitter.com/JanPhilippKolb/status/1330943606220349440) ,USA,,,,
**14** ^Climate change^,**@andrewdc_nz** ^Andrew Douglas-Clifford^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/andrewdc_nz_14.jpg),[tweet](https://twitter.com/andrewdc_nz/status/1327470019492495361) ,New Zealand,Auckland,,,
**24** ^Elevation^,**@lezanviz** ^lezanviz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/lezanviz_24.jpg),[tweet](https://twitter.com/lezanviz/status/1331259095823884298) ,Italy,,,,
**12** ^Non-GIS^,**@Lene_Fischer** ^Lene Fischer^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Lene_Fischer_12.jpg),[tweet](https://twitter.com/Lene_Fischer/status/1326778061199650816) ,,,,,
**16** ^Islands^,**@geologyjesse** ^Jesse Pisel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geologyjesse_16.jpg),[tweet](https://twitter.com/geologyjesse/status/1328356652295348226) ,,,,,"QGIS, Mapbox"
**03** ^Polygons^,**@DrChrisGeoSci** ^Dr Chris #GIS #Success^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DrChrisGeoSci_03.jpg),[tweet](https://twitter.com/DrChrisGeoSci/status/1323641627940921344) ,Europe,,,,ArcGIS
**28** ^Non-geographic^,**@samwise_v** ^Sam J^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/samwise_v_28.jpg),[tweet](https://twitter.com/samwise_v/status/1332719983332364289) ,,,,,
**25** ^COVID-19^,**@balt_ti** ^Tatiana^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/balt_ti_25.jpg),[tweet](https://twitter.com/balt_ti/status/1331463912663953411) ,,,,,
**05** ^Blue^,**@Yakus** ^Matt Travis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Yakus_05.jpg),[tweet](https://twitter.com/Yakus/status/1324375252990910465) ,UK,,,,QGIS
**12** ^Non-GIS^,**@Lubin_Picard** ^Lubin Picard^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Lubin_Picard_12.jpg),[tweet](https://twitter.com/Lubin_Picard/status/1326766678206767105) ,,,,,Townscaper
**27** ^Big/small data^,**@Saint_GIS** ^SRG^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Saint_GIS_27.jpg),[tweet](https://twitter.com/Saint_GIS/status/1332296416094425088) ,,,,,
**02** ^Lines^,**@varaktor** ^Kapazitätsdiode^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/varaktor_02.jpg),[tweet](https://twitter.com/varaktor/status/1323350030519074817) ,,,,,
**15** ^Connections^,**@JulienQuotidien** ^Julien^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulienQuotidien_15.jpg),[tweet](https://twitter.com/JulienQuotidien/status/1327945524549398528) ,,,,,
**17** ^Historical^,**@sajbelcart** ^Josie Sajbel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sajbelcart_17.jpg),[tweet](https://twitter.com/sajbelcart/status/1328862432949886979) ,USA,Denver CO,,,
