Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**07** ^Green^,**@Kartokobri** ^Julien Dupont Kobri^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Kartokobri_07.jpg),[tweet](https://twitter.com/Kartokobri/status/1324978718603956224) ,,,,,
**17** ^Historical^,**@jstnbraaten** ^Justin Braaten^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jstnbraaten_17.jpg),[tweet](https://twitter.com/jstnbraaten/status/1328700515438403584) ,,,,,
**16** ^Islands^,**@elmalovestrees** ^Emma Hall^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/elmalovestrees_16.jpg),[tweet](https://twitter.com/elmalovestrees/status/1328400894971547649) ,Madagascar,,,,
**20** ^Population^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_20.jpg),[tweet](https://twitter.com/darwinanddavis/status/1330271869161836548) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-20-population),Australia,,animals,,"R, Mapbox"
**26** ^New tool^,**@arkarjun** ^ark Arjun^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/arkarjun_26.jpg),[tweet](https://twitter.com/arkarjun/status/1332180409799491584) ,,,,,
**06** ^Red^,**@ksituan** ^Alex McPhee^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ksituan_06.jpg),[tweet](https://twitter.com/ksituan/status/1324736119372570625) ,"USA, Canada",,geomorphology,,"QGIS, Inkscape"
**25** ^COVID-19^,**@evelynuuemaa** ^Evelyn Uuemaa^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/evelynuuemaa_25.jpg),[tweet](https://twitter.com/evelynuuemaa/status/1331487094007623685) ,,,,,
**27** ^Big/small data^,**@RFinerman** ^Rachel Finerman^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/RFinerman_27.jpg),[tweet](https://twitter.com/RFinerman/status/1333168060409077760) ,Ireland,,,,
**27** ^Big/small data^,**@KonturInc** ^Kontur^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/KonturInc_27.jpg),[tweet](https://twitter.com/KonturInc/status/1332427169168044035) ,,,,,
**24** ^Elevation^,**@Neil_py_harris** ^Neil Harris^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Neil_py_harris_24.jpg),[tweet](https://twitter.com/Neil_py_harris/status/1331163728268693504) ,,,,,
**08** ^Yellow^,**@Sharkteeth11** ^Sharkteeth Slytherin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Sharkteeth11_08.jpg),[tweet](https://twitter.com/Sharkteeth11/status/1325547680542593024) ,,,,,
**22** ^Movement^,**@marcreid** ^Marc Reid^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/marcreid_22.jpg),[tweet](https://twitter.com/marcreid/status/1330848874743934977) ,,,,,
**25** ^COVID-19^,**@Koen_VdE** ^Koen Van den Eeckhout^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Koen_VdE_25.jpg),[tweet](https://twitter.com/Koen_VdE/status/1331688440887455752) ,India,,COVID-19,,Datawrapper
